Gene	HGNC_ID
NLRP9	HGNC:22941
NMS	HGNC:32203
NOBOX	HGNC:22448
NOTO	HGNC:31839
NOX3	HGNC:7890
NPFFR1	HGNC:17425
NPHS2	HGNC:13394
NPSR1	HGNC:23631
NPVF	HGNC:13782
NR2E1	HGNC:7973
NYX	HGNC:8082
OC90	HGNC:8100
OLIG2	HGNC:9398
OLIG3	HGNC:18003
OPALIN	HGNC:20707
OPN1LW	HGNC:9936
OPN5	HGNC:19992
OR10A2	HGNC:8161
OR10A4	HGNC:15130
OR10A5	HGNC:15131
OR10H1	HGNC:8172
OR10H2	HGNC:8173
OR10H3	HGNC:8174
OR10J1	HGNC:8175
OR10R2	HGNC:14820
OR10S1	HGNC:14807
OR10X1	HGNC:14995
OR10Z1	HGNC:14996
OR11A1	HGNC:8176
OR12D2	HGNC:8178
OR12D3	HGNC:13963
OR13C3	HGNC:14704
OR13D1	HGNC:14695
OR14A16	HGNC:15022
OR1A1	HGNC:8179
OR1A2	HGNC:8180
OR1B1	HGNC:8181
OR1D2	HGNC:8183
OR1E1	HGNC:8189
OR1E2	HGNC:8190
OR1G1	HGNC:8204
OR1L6	HGNC:8218
OR1N2	HGNC:15111
OR1S1	HGNC:8227
OR1S2	HGNC:15141
OR2AK2	HGNC:19569
OR2AT4	HGNC:19620
OR2C1	HGNC:8242
OR2C3	HGNC:15005
OR2D2	HGNC:8244
OR2D3	HGNC:15146
OR2F1	HGNC:8246
OR2G2	HGNC:15007
OR2G3	HGNC:15008
OR2H1	HGNC:8252
OR2J2	HGNC:8260
OR2L3	HGNC:15009
OR2T1	HGNC:8277
OR2T10	HGNC:19573
OR2T12	HGNC:19592
OR2T2	HGNC:14725
OR2T27	HGNC:31252
OR2T33	HGNC:31255
OR2T4	HGNC:15016
OR2T5	HGNC:15017
OR2W1	HGNC:8281
OR3A1	HGNC:8282
OR3A2	HGNC:8283
OR3A3	HGNC:8284
OR4C11	HGNC:15167
OR4C3	HGNC:14697
OR4D1	HGNC:8293
OR4D10	HGNC:15173
OR4D11	HGNC:15174
OR4D9	HGNC:15178
OR4K17	HGNC:15355
OR51B6	HGNC:19600
OR51D1	HGNC:15193
OR51F2	HGNC:15197
OR51T1	HGNC:15205
OR51V1	HGNC:19597
OR52A1	HGNC:8318
OR52A5	HGNC:19580
OR52B2	HGNC:15207
OR52B6	HGNC:15211
OR52E8	HGNC:15217
OR52I2	HGNC:15221
OR52K2	HGNC:15223
OR52L1	HGNC:14785
OR52M1	HGNC:15225
OR52R1	HGNC:15235
OR52W1	HGNC:15239
OR56A1	HGNC:14781
OR56A4	HGNC:14791
OR56B1	HGNC:15245
OR5AU1	HGNC:15362
OR5C1	HGNC:8331
OR5I1	HGNC:8347
OR5M1	HGNC:8352
OR5M10	HGNC:15290
OR5P2	HGNC:14783
OR5P3	HGNC:14784
OR5R1	HGNC:14841
OR5T1	HGNC:14821
OR5T2	HGNC:15296
OR5T3	HGNC:15297
OR5V1	HGNC:13972
OR5W2	HGNC:15299
OR6A2	HGNC:15301
OR6K6	HGNC:15033
